編號,老師姓名,全銜,系所,負責計畫,場域,執行時間,計畫議題,SDGs關聯議題,第一期,第二期,第三期,第四期
1,蔣鎮宇,特聘教授,生命科學系,以微生物科技導入台南市農業區的智慧新農業計畫主持人,"台南市、後壁區、璞育文教學會示範田
台南市、東山區、南方森林咖啡
台南市、東山區、東山窯鄉友善農作推廣工作室
台南市、東山區、番社蔬果聯盟
台南市、白河區、木成香菇
台南市、六甲區、水星農場
台南市、學甲區、瑞香農產
台南市、學甲區、福豐昕昕農場
台南市、麻豆區、曾文農工
台南市、麻豆區、曾文社區大學
台南市、安定區、饗樂纖農安定園區
台南市、將軍區、將軍區農會
台南市、佳里區、北門社區大學
台南市、佳里區、北門農工
台南市、歸仁區、釋迦園",民國109,在地關懷,消除貧窮、零飢餓、優質教育,,V,,
2,江友中,主任,生物科學系,以微生物科技導入台南市農業區的智慧新農業計畫協同主持人,,,,,,V,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,張秀慈,副教授,都市計劃系,惡地協作：淺山地區之區域創生與跨域實踐計畫主持人,"台南市、左鎮區、西南惡地
台南市、龍崎區、西南惡地
高雄市、田寮區、西南惡地
高雄市、內門區、西南惡地",民國109,產業鏈結與經濟永續,"合宜工作與經濟成長
產業、創新和基礎設施
負責任的消費及生產",,V,,
2,簡聖芬,副教授,建築學系,惡地協作：淺山地區之區域創生與跨域實踐計畫共同主持人1,,,,,,V,,
3,黃偉茹,助理教授,都市計劃學系,惡地協作：淺山地區之區域創生與跨域實踐計畫共同主持人2,,,,,,V,,
4,杜怡萱,副教授,建築學系,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人1,,,,,,V,,
5,張松彬,副教授,生命科學系,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人2,,,,,,V,,
6,陳必晟,助理教授,環境工程學系,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人3,,,,,,V,,
7,陳文松,副教授,歷史學系,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人4,,,,,,V,,
8,楊佳翰,副教授,創意產業設計研究所,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人5,,,,,,V,,
9,簡瑋麒,助理教授,工業設計學系,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人6,,,,,,V,,
10,林蕙玟,副教授,創意產業設計研究所,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人7,,,,,,V,,
1,簡義明,副教授,台灣文學系,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫主持人,無,民國109,永續環境,零飢餓、負責任的消費及生產,,V,,
2,陳俊延,研究員,生物科技中心,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫共同主持人1,,,,,,V,,
3,張嘉修,講座教授兼工學院院長,東海大學化學工程與材料工程學系(借調),農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫共同主持人2,,,,,,V,,
4,陳維新,特聘教授,航空太空工程學系,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫協同主持人1,,,,,,V,,
5,黃良銘,特聘教授,環境工程學系,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫協同主持人2,,,,,,V,,
6,王秀雲,副教授,醫學系,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫協同主持人3,,,,,,V,,
7,許宏彬,副教授,歷史學系,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫協同主持人4,,,,,,V,,
8,林淑惠,顧問,財團法人大武山文教基金會,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫協同主持人5,,,,,,V,,
1,董旭英,主任/教授,師資培育中心/教育研究所,相伴2026：齡感生活微社群行動網計畫主持人,"台南市、中西區、永華里
台南市、北區、長勝里
台南市、安平區、國平社區
台南市、官田區、隆田在地實踐工作站
台南市、六甲區、林鳳營車站周邊
台南市、七股區、樹林里、樹林國小
日本、千葉縣、長柄町生涯活躍町推進協議會、リソル生命の森(銀髮族養生園地)",民國110,健康促進與食品安全,良好健康與福祉,,V,,
2,林麗娟,副院長,管理學院,相伴2026：齡感生活微社群行動網計畫共同主持人1,,,,,,V,,
3,劉立凡,教授,老年學研究所,相伴2026：齡感生活微社群行動網計畫共同主持人2,,,,,,V,,
4,陳世明,副教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人1,,,,,,V,,
5,張玲慧,副教授,職能治療學系,相伴2026：齡感生活微社群行動網計畫協同主持人2,,,,,,V,,
6,黃百川,助理教授,職能治療學系,相伴2026：齡感生活微社群行動網計畫協同主持人3,,,,,,V,,
7,劉世南,所長,創意產業研究所,相伴2026：齡感生活微社群行動網計畫協同主持人4,,,,,,V,,
8,宋立文,社會實踐組組長,人文社會科學中心,相伴2026：齡感生活微社群行動網計畫協同主持人5,,,,,,V,,
9,潘振宇,助理教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人6,,,,,,V,,
10,吳玉成,副教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人7,,,,,,V,,
11,盧紀邦,博士後研究員,人文社會科學中心博士後研究員,相伴2026：齡感生活微社群行動網計畫協同主持人8,,,,,,V,,
12,張珩,特聘教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人9,,,,,,V,,
13,楊詩弘,助理教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人10,,,,,,V,,
14,蔡寧,專案講師,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人11,,,,,,V,,
15,鄭淑惠,助理教授,心輔組,相伴2026：齡感生活微社群行動網計畫協同主持人12,,,,,,V,,
16,徐欣萍,助理教授,心理系,相伴2026：齡感生活微社群行動網計畫協同主持人13,,,,,,V,,
17,黃仲菁,助理教授,全校不分系,相伴2026：齡感生活微社群行動網計畫協同主持人14,,,,,,V,,
1,蔣鎮宇,特聘教授,生命科學系,以微生物科技導入台南市農業區的智慧新農業計畫主持人,"台南市、後壁區、璞育文教學會示範田
台南市、東山區、南方森林咖啡
台南市、東山區、東山窯鄉友善農作推廣工作室
台南市、東山區、番社蔬果聯盟
台南市、白河區、木成香菇
台南市、六甲區、水星農場
台南市、學甲區、瑞香農產
台南市、學甲區、福豐昕昕農場
台南市、麻豆區、曾文農工
台南市、麻豆區、曾文社區大學
台南市、安定區、饗樂纖農安定園區
台南市、將軍區、將軍區農會
台南市、佳里區、北門社區大學
台南市、佳里區、北門農工
台南市、歸仁區、釋迦園",民國110,在地關懷,消除貧窮、零飢餓、優質教育,,V,,
2,江友中,主任,生物科學系,以微生物科技導入台南市農業區的智慧新農業計畫協同主持人,,民國110,,,,V,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,董旭英,主任/教授,師資培育中心/教育研究所,"
相伴2026：齡感生活微社群行動網計畫主持人","台南市、中西區、永華里
台南市、北區、長勝里
台南市、安平區、國平社區
台南市、官田區、隆田在地實踐工作站
台南市、六甲區、林鳳營車站周邊
台南市、七股區、樹林里、樹林國小
日本、千葉縣、長柄町生涯活躍町推進協議會、リソル生命の森(銀髮族養生園地)",民國111,健康促進與食品安全,良好健康與福祉,,V,,
2,林麗娟,副院長,管理學院,相伴2026：齡感生活微社群行動網計畫共同主持人1,,民國111,,,,V,,
3,劉立凡,教授,老年學研究所,相伴2026：齡感生活微社群行動網計畫共同主持人2,,民國111,,,,V,,
4,陳世明,副教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人1,,民國111,,,,V,,
5,黃百川,助理教授,職能治療學系,相伴2026：齡感生活微社群行動網計畫協同主持人2,,民國111,,,,V,,
6,劉世南,所長,創意產業研究所,相伴2026：齡感生活微社群行動網計畫協同主持人3,,民國111,,,,V,,
7,宋立文,社會實踐組組長,人文社會科學中心,相伴2026：齡感生活微社群行動網計畫協同主持人4,,民國111,,,,V,,
8,潘振宇,助理教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人5,,民國111,,,,V,,
9,吳玉成,副教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人6,,民國111,,,,V,,
10,盧紀邦,博士後研究員,人文社會科學中心博士後研究員,相伴2026：齡感生活微社群行動網計畫協同主持人7,,民國111,,,,V,,
11,張珩,特聘教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人8,,民國111,,,,V,,
12,楊詩弘,助理教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人9,,民國111,,,,V,,
13,蔡寧,專案講師,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人10,,民國111,,,,V,,
14,鄭淑惠,助理教授,心輔組,相伴2026：齡感生活微社群行動網計畫協同主持人11,,民國111,,,,V,,
15,徐欣萍,助理教授,心理系,相伴2026：齡感生活微社群行動網計畫協同主持人12,,民國111,,,,V,,
16,黃仲菁,助理教授,全校不分系,相伴2026：齡感生活微社群行動網計畫協同主持人13,,民國111,,,,V,,
17,陳麗君,教授/行政企劃組組長,台灣文學系/人文社會科學中心,相伴2026：齡感生活微社群行動網計畫協同主持人14,,民國111,,,,V,,
1,蔣鎮宇,特聘教授,生命科學系,以微生物科技導入台南市農業區的智慧新農業計畫主持人,"台南市、後壁區、璞育文教學會示範田
台南市、東山區、南方森林咖啡
台南市、東山區、東山窯鄉友善農作推廣工作室
台南市、東山區、番社蔬果聯盟
台南市、白河區、木成香菇
台南市、六甲區、水星農場
台南市、學甲區、瑞香農產
台南市、學甲區、福豐昕昕農場
台南市、麻豆區、曾文農工
台南市、麻豆區、曾文社區大學
台南市、安定區、饗樂纖農安定園區
台南市、將軍區、將軍區農會
台南市、佳里區、北門社區大學
台南市、佳里區、北門農工
台南市、歸仁區、釋迦園",民國111,在地關懷,消除貧窮、零飢餓、優質教育,,V,,
2,江友中,主任,生物科學系,以微生物科技導入台南市農業區的智慧新農業計畫協同主持人1,,民國111,,,,V,,
,,,,,,,,,,,,
1,張秀慈,副教授,都市計劃學系,惡地協作：淺山地區之區域創生與跨域實踐計畫主持人,"台南市、左鎮區、西南惡地
台南市、龍崎區、西南惡地
高雄市、田寮區、西南惡地
高雄市、內門區、西南惡地",民國111,產業鏈結與經濟永續,"合宜工作與經濟成長、
產業、創新和基礎設施、
負責任的消費及生產",,v,,
2,簡聖芬,副教授,建築學系,惡地協作：淺山地區之區域創生與跨域實踐計畫共同主持人1,,民國111,,,,v,,
3,黃偉茹,副教授,都市計劃學系職,惡地協作：淺山地區之區域創生與跨域實踐計畫共同主持人2,,民國111,,,,v,,
4,杜怡萱,教授,建築學系,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人1,,民國111,,,,v,,
